event_minus_3,event_minus_2,event_minus_1,target_event,occurances
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,8830
betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,8011
betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,4570
media||media,media||watched video,media||media,media||watched video,4362
betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,3828
text media||text media,betting||added selection,text media||text media,betting||added selection,3777
betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,3280
betting||added selection,text media||text media,betting||added selection,text media||text media,3270
betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,2905
betting||added selection,navigation||race time selector,betting||added selection,betting||placed bet,2844
navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,2575
media||watched video,media||media,media||watched video,media||media,2382
navigation||race time selector,text media||text media,betting||added selection,navigation||race time selector,2126
betting||added selection,navigation||race time selector,text media||text media,betting||added selection,2124
text media||text media,navigation||race time selector,text media||text media,navigation||race time selector,2053
betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,1912
betting||added selection,betting||removed selection,betting||added selection,betting||placed bet,1851
text media||text media,navigation||race time selector,text media||text media,betting||added selection,1846
text media||text media,betting||added selection,navigation||race time selector,betting||added selection,1783
text media||text media,betting||added selection,navigation||race time selector,text media||text media,1755
payments||payments,payments||started deposit,payments||payments,payments||attempted deposit,1695
navigation||race time selector,text media||text media,betting||added selection,text media||text media,1679
payments||started deposit,payments||payments,payments||attempted deposit,payments||made deposit,1517
betting||added selection,betting||placed bet,navigation||race time selector,betting||added selection,1506
payments||payments,payments||started deposit,payments||attempted deposit,payments||made deposit,1495
betting||added selection,text media||text media,betting||added selection,betting||placed bet,1424
navigation||race time selector,betting||added selection,navigation||race time selector,text media||text media,1376
text media||text media,betting||added selection,text media||text media,betting||placed bet,1375
betting||added selection,navigation||race time selector,betting||added selection,text media||text media,1344
navigation||race time selector,betting||added selection,betting||placed bet,betting||removed all selections,1335
navigation||race time selector,betting||added selection,betting||placed bet,navigation||race time selector,1326
navigation||race time selector,betting||added selection,betting||placed bet,betting||added selection,1316
navigation||race time selector,betting||added selection,navigation||race time selector,betting||placed bet,1311
betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,1309
text media||text media,betting||added selection,text media||text media,navigation||race time selector,1186
navigation||race time selector,betting||added selection,text media||text media,betting||added selection,1144
text media||text media,navigation||race time selector,betting||added selection,navigation||race time selector,1107
betting||added selection,text media||text media,betting||added selection,navigation||race time selector,1080
navigation||race time selector,text media||text media,betting||added selection,betting||placed bet,1078
betting||added selection,betting||placed bet,media||media,media||watched video,1070
betting||added selection,text media||text media,navigation||race time selector,text media||text media,1048
text media||text media,betting||added selection,betting||placed bet,betting||removed all selections,1021
betting||added selection,navigation||race time selector,text media||text media,navigation||race time selector,1015
