event_minus_3,event_minus_2,event_minus_1,target_event,occurances
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,17755
betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,15946
betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,10405
media||media,media||watched video,media||media,media||watched video,8585
text media||text media,betting||added selection,text media||text media,betting||added selection,7973
betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,7797
betting||added selection,text media||text media,betting||added selection,text media||text media,6851
betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,6649
betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,6566
betting||added selection,navigation||race time selector,betting||added selection,betting||placed bet,5853
navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,5077
media||watched video,media||media,media||watched video,media||media,4628
betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,4303
betting||added selection,betting||removed selection,betting||added selection,betting||placed bet,4267
betting||added selection,navigation||race time selector,text media||text media,betting||added selection,4259
navigation||race time selector,text media||text media,betting||added selection,navigation||race time selector,4218
text media||text media,navigation||race time selector,text media||text media,navigation||race time selector,4072
payments||payments,payments||started deposit,payments||payments,payments||attempted deposit,3711
text media||text media,navigation||race time selector,text media||text media,betting||added selection,3703
text media||text media,betting||added selection,navigation||race time selector,betting||added selection,3635
text media||text media,betting||added selection,navigation||race time selector,text media||text media,3422
payments||started deposit,payments||payments,payments||attempted deposit,payments||made deposit,3375
navigation||race time selector,text media||text media,betting||added selection,text media||text media,3292
betting||added selection,text media||text media,betting||added selection,betting||placed bet,3264
payments||payments,payments||started deposit,payments||attempted deposit,payments||made deposit,3246
betting||added selection,betting||placed bet,navigation||race time selector,betting||added selection,3102
betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,2953
text media||text media,betting||added selection,text media||text media,betting||placed bet,2915
navigation||race time selector,betting||added selection,betting||placed bet,betting||added selection,2836
navigation||race time selector,betting||added selection,navigation||race time selector,text media||text media,2807
navigation||race time selector,betting||added selection,betting||placed bet,betting||removed all selections,2772
navigation||race time selector,betting||added selection,navigation||race time selector,betting||placed bet,2718
betting||added selection,navigation||race time selector,betting||added selection,text media||text media,2716
navigation||race time selector,betting||added selection,betting||placed bet,navigation||race time selector,2659
text media||text media,betting||added selection,betting||placed bet,betting||added selection,2396
text media||text media,betting||added selection,text media||text media,navigation||race time selector,2356
betting||added selection,betting||placed bet,media||media,media||watched video,2335
navigation||race time selector,betting||added selection,text media||text media,betting||added selection,2334
betting||added selection,betting||placed bet,betting||added selection,betting||removed selection,2317
text media||text media,navigation||race time selector,betting||added selection,navigation||race time selector,2283
navigation||race time selector,text media||text media,betting||added selection,betting||placed bet,2238
betting||added selection,text media||text media,betting||placed bet,text media||text media,2236
betting||added selection,text media||text media,betting||added selection,navigation||race time selector,2224
text media||text media,betting||added selection,betting||placed bet,betting||removed all selections,2221
betting||added selection,text media||text media,navigation||race time selector,text media||text media,2144
betting||added selection,betting||placed bet,text media||text media,betting||added selection,2073
betting||added selection,navigation||race time selector,betting||placed bet,betting||added selection,2070
betting||added selection,navigation||race time selector,text media||text media,navigation||race time selector,2064
text media||text media,betting||added selection,betting||placed bet,text media||text media,2056
betting||added selection,text media||text media,navigation||race time selector,betting||added selection,2052
betting||placed bet,betting||added selection,navigation||race time selector,betting||added selection,2051
betting||placed bet,betting||added selection,betting||placed bet,betting||removed all selections,2040
navigation||race time selector,text media||text media,navigation||race time selector,betting||added selection,2028
betting||removed all selections,betting||added selection,betting||placed bet,betting||removed all selections,2007
