event_minus_5,event_minus_4,event_minus_3,event_minus_2,event_minus_1,target_event,occurances
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,3092
betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,2667
betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,1658
betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,1501
media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,1441
betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,1107
betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,betting||placed bet,1065
media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,1036
text media||text media,betting||added selection,text media||text media,betting||added selection,text media||text media,betting||added selection,901
,,,,,betting||added selection,805
betting||added selection,text media||text media,betting||added selection,text media||text media,betting||added selection,text media||text media,770
betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,750
navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,673
,,,,,navigation||my bets,637
,,,,,OneTrust Cookie Consent||OneTrust Cookie Consent,621
betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,betting||removed all selections,599
text media||text media,navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,navigation||race time selector,575
betting||added selection,betting||placed bet,media||media,media||watched video,media||media,media||watched video,548
,,,,,text media||text media,520
