event_minus_3,event_minus_2,event_minus_1,target_event,occurances
betting||betting,navigation||navigation,betting||betting,navigation||navigation,80493
navigation||navigation,betting||betting,navigation||navigation,betting||betting,78233
text media||text media,betting||betting,navigation||navigation,betting||betting,13325
text media||text media,betting||betting,text media||text media,betting||betting,11754
betting||betting,navigation||navigation,betting||betting,text media||text media,11130
navigation||navigation,betting||betting,navigation||navigation,text media||text media,10944
betting||betting,text media||text media,betting||betting,navigation||navigation,10907
betting||betting,text media||text media,betting||betting,text media||text media,10827
navigation||navigation,text media||text media,betting||betting,navigation||navigation,10158
navigation||navigation,betting||betting,text media||text media,betting||betting,9860
betting||betting,navigation||navigation,text media||text media,betting||betting,9797
navigation||navigation,text media||text media,navigation||navigation,text media||text media,9725
text media||text media,navigation||navigation,betting||betting,navigation||navigation,9607
text media||text media,navigation||navigation,text media||text media,navigation||navigation,8924
betting||betting,navigation||navigation,text media||text media,navigation||navigation,8609
navigation||navigation,text media||text media,navigation||navigation,betting||betting,7729
betting||betting,text media||text media,navigation||navigation,betting||betting,6737
text media||text media,betting||betting,navigation||navigation,text media||text media,6660
navigation||navigation,betting||betting,text media||text media,navigation||navigation,6503
text media||text media,navigation||navigation,text media||text media,betting||betting,6352
navigation||navigation,text media||text media,betting||betting,text media||text media,6290
text media||text media,betting||betting,text media||text media,navigation||navigation,5708
navigation||navigation,login||login,navigation||navigation,login||login,5441
login||login,navigation||navigation,login||login,navigation||navigation,5334
betting||betting,text media||text media,navigation||navigation,text media||text media,5313
,,,navigation||navigation,4400
navigation||navigation,media||media,navigation||navigation,media||media,4400
text media||text media,navigation||navigation,betting||betting,text media||text media,4306
media||media,navigation||navigation,media||media,navigation||navigation,3934
navigation||navigation,betting||betting,navigation||navigation,media||media,3870
betting||betting,navigation||navigation,betting||betting,gaming||gaming,3865
gaming||gaming,navigation||navigation,betting||betting,navigation||navigation,3827
gaming||gaming,betting||betting,navigation||navigation,betting||betting,3793
navigation||navigation,betting||betting,navigation||navigation,gaming||gaming,3717
betting||betting,navigation||navigation,betting||betting,payments||payments,3550
login||login,navigation||navigation,betting||betting,navigation||navigation,3461
payments||payments,betting||betting,navigation||navigation,betting||betting,3393
betting||betting,navigation||navigation,media||media,navigation||navigation,3358
payments||payments,betting||betting,payments||payments,betting||betting,3327
betting||betting,payments||payments,betting||betting,payments||payments,3226
media||media,navigation||navigation,betting||betting,navigation||navigation,3214
